	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
ACOT1	5.91736838961323	5.82284503882069	5.6939133624791	5.86078177949209	5.68642834761617	5.94449190344053	5.33906344262927	5.57911196460826
ACOT11	6.16874928236495	5.92793857298885	6.00559238192693	6.5098698718483	5.88627085374656	6.21057589593538	6.44672106142973	6.5014321475394
ACOT12	1.83043583819643	0	2.11399113273106	1.4775592782179	2.0216395901114	0.919108427306555	2.04148071851021	0
ACOT13	10.003004031085	9.93736615072164	9.93740409745702	10.0020543767695	10.0053170929724	9.90905325554742	9.86876793505379	9.93650342608199
ACOT2	8.40552377582497	8.36785055512978	8.14527953628181	8.3320767620301	7.94155234421894	8.19150074038545	8.11012613277748	8.28195410533807
ACOT4	1.1879086418442	1.04915498583224	0.873591161997045	0	0	0.919108427306555	1.62189271010242	0
ACOT6	0	0	0	1.4775592782179	1.33926565560582	0	0	1.87759261098564
ACOT7	10.3762048048433	10.3302322160494	10.3709343094975	10.4142263578901	10.1638238582269	10.7471394250109	10.7194607623895	10.6963247091061
ACOT8	8.52046444894546	8.4887292756259	8.54946078568033	8.74599462228326	8.43808837551611	8.64115949533801	8.62095828101047	8.53175845070865
ACOT9	8.95138086049618	9.09650754653823	9.42188685389317	9.41339641443364	9.41998240613953	9.24306105785017	9.27170183853009	9.28582988512609
ACOX1	10.6496580618481	10.5924804768679	10.4859091715116	10.4496403719265	10.5933883009491	10.6263002892428	10.7371306478863	10.6394038365157
ACOX2	2.61185458961585	3.54759474993206	3.66118544087934	4.23631820254311	4.38494253631785	3.30880694344838	3.37156373404015	3.17374168667653
ACOX3	8.18565103391822	8.01516695076866	7.99807534396571	8.02616013199073	7.8678605995332	8.18268019171079	8.131662302813	7.93304056444325
ACOXL	5.34429224832805	5.30361376332117	6.47921612450576	6.63172225691637	6.48788901713488	6.87914174924515	7.0546247425751	7.08818394776057
ACP1	11.6448964516599	11.5875085980085	11.5033010963073	11.4805518117494	11.581440865213	11.6592129347555	11.6210829807902	11.6425767766406
ACP2	9.47510860087484	9.35628090921617	9.08641791813199	9.08395351702379	9.03435036208281	9.6215127623106	9.45157140168907	9.52457850317019
ACP5	2.0688620816702	2.07311837176014	1.41383017209649	2.44941090727856	1.33926565560582	1.87689566938431	1.62189271010242	2.94233327642699
ACP6	9.08811125841055	9.23607574185048	9.19487809718478	9.28925868239675	9.15930097524193	9.06492543142809	9.10206856654052	9.03311181865249
ACPL2	9.1265602309635	9.21805582266339	9.45818508760328	9.60081143632211	9.60144405880643	9.55300873802998	9.49791264944231	9.57351012740454
ACPP	5.85501546109983	5.64928788041265	6.84566397954805	6.32952475987255	6.73586767045494	6.74177187478041	6.62433372787797	6.64328922437846
ACPT	0	0	0	0	0	1.4760667690282	1.02778590416034	1.22484716351885
ACR	1.83043583819643	1.04915498583224	0.873591161997045	1.87859124116955	1.33926565560582	1.4760667690282	1.02778590416034	1.87759261098564
ACRBP	3.85013292402316	3.99733254887489	2.36767577881156	3.3109014736139	2.83205955510054	3.17289023276037	3.63550140326393	3.84529621395647
ACRC	7.70536388884847	7.39987893669763	6.18131622289169	6.43744518571095	6.12639727578632	6.17543892190816	6.22422142599178	6.2957927829398
ACRV1	0	1.65013722138078	0	0	1.33926565560582	0.919108427306555	1.62189271010242	1.22484716351885
ACSBG1	5.73896023117835	5.26401506301609	3.34403279619348	3.75418253342668	3.54986316065919	4.23411245828955	4.1393290458084	2.32536356564879
ACSBG2	1.1879086418442	1.65013722138078	0	1.4775592782179	2.0216395901114	0	0	0
ACSF2	8.12088210432241	8.28619446180666	8.92288427324046	9.09811805329347	8.85526697303173	8.25598996619156	8.30279659462258	8.23789849694127
ACSF3	8.65920814476494	8.72944982478078	8.34680187644886	8.32406445290826	8.3461045354106	8.5062685484424	8.48534274896821	8.5473133894838
